league,total,predicted,filtered,skipped,coverage_rate
Prime League 2nd Division,26,0,26,0,0.0
LOL DK Ligaen,23,0,23,0,0.0
Equal Esports Cup 2026,22,0,22,0,0.0
2026 Mid-Season Invitational,4,0,4,0,0.0
LigaGG,1,0,1,0,0.0
4 Nations,24,1,24,0,0.0417
